Geneid	ck18FL1	ck18FL2	ck18FL3	ck18FL4	ck18HL1	ck18HL2	ck18HL3	ck18HL4	ck18K1	ck18k2	ck18K3	ck18K4
gene14990	0	0	0	0	0	0	0	0	0	0	0	0
gene14991	0	0	0	0	0	0	0	0	0	0	0	0
gene14992	0	0	0	0	0	0	0	0	0	0	0	0
gene14993	0	0	0	0	0	0	0	0	0	0	0	0
gene14994	0	0	0	0	0	0	0	0	0	0	0	0
gene14995	0	0	0	0	0	0	0	0	0	0	0	0
gene14996	0	0	0	0	0	0	0	0	0	0	0	0
gene14997	0	0	0	0	0	0	0	0	0	0	0	0
gene14998	0	0	0	0	0	0	0	0	0	1	0	0
gene14999	0	0	0	0	0	0	0	0	0	0	0	0
gene15000	0	0	0	0	0	0	0	0	0	0	0	0
gene15001	0	0	0	0	0	0	0	0	0	0	0	0
gene15002	0	0	0	0	0	0	0	0	0	0	0	0
gene15003	0	0	0	0	0	0	0	0	0	0	0	0
gene15004	141	93	60	87	86	87	107	69	79	120	73	284
gene15005	0	0	1	0	0	0	0	1	0	0	0	0
gene15006	0	0	0	0	0	0	1	0	0	0	0	0
gene15007	882	737	516	657	919	668	816	437	346	526	448	1666
gene15008	1940	964	888	1584	1793	848	1796	1124	899	1342	1267	6062
gene15009	548	228	232	392	362	127	351	211	644	431	348	2147
gene15010	4204	2894	1710	2459	3430	2284	2329	1650	1887	2746	1804	7810
gene15011	121	69	34	60	86	42	45	42	69	70	48	205
gene15012	2777	2975	1576	1696	2422	2969	2171	1226	1916	3503	1560	6082
gene15013	268	250	116	172	219	201	191	145	198	328	122	728
gene15014	1310	1186	741	932	925	747	1016	553	1589	2101	1069	4901
gene15015	8830	7869	3575	4288	7159	6292	5208	2820	5777	10216	5085	17581
gene15016	119	95	59	77	138	114	114	49	89	147	87	334
gene15017	11	4	4	9	7	4	3	1	2	3	0	10
gene15018	12	5	8	6	10	5	17	12	2	0	3	7
gene15019	1289	1019	622	881	1041	821	1150	552	1022	1568	1145	4615
gene15020	886	637	351	578	709	532	603	381	375	743	437	1694
gene15021	0	0	0	1	1	4	3	1	0	3	0	4
gene15022	132	67	64	93	190	99	122	46	94	125	79	318
gene15023	153	70	55	113	292	159	208	172	65	70	59	298
gene15024	25	12	14	17	25	19	22	14	38	28	36	151
gene15025	0	0	0	0	0	0	0	0	0	0	0	0
