Geneid	ck18FL1	ck18FL2	ck18FL3	ck18FL4	ck18HL1	ck18HL2	ck18HL3	ck18HL4	ck18K1	ck18k2	ck18K3	ck18K4
gene21623	923	971	490	647	794	859	671	382	708	1247	661	2745
gene0	182	182	131	293	130	126	191	134	83	210	168	1037
gene1	3	0	1	2	1	3	3	1	5	3	3	12
gene2	3602	2775	1800	2823	2839	2083	2658	1539	2583	3676	3083	12651
gene3	25	28	26	26	19	24	52	27	16	10	18	77
gene4	0	0	1	0	0	0	0	0	0	0	0	0
gene5	560	393	233	365	466	367	342	232	254	426	275	1257
gene6	579	434	271	415	507	374	482	245	227	480	315	1314
gene7	3	4	1	1	5	5	1	0	2	4	1	8
gene8	1081	917	521	919	892	791	894	547	595	977	686	3313
gene9	14	0	1	1	0	0	1	0	0	1	0	2
gene10	11	9	10	11	6	6	5	3	6	5	6	18
gene11	325	264	197	257	175	142	246	104	174	301	219	977
gene12	0	0	0	0	0	0	0	1	0	0	0	0
gene13	195	119	70	124	88	82	114	38	98	117	97	460
gene14	0	0	0	0	0	0	0	0	0	0	0	1
gene15	813	725	411	603	632	625	745	370	433	916	590	2458
gene16	1194	818	641	934	941	672	1000	590	626	856	844	3189
gene17	1420	914	687	1039	1145	714	1008	637	674	901	776	3746
gene18	0	0	0	0	0	0	0	0	0	0	0	0
gene19	7748	6236	3291	5087	5676	5273	6175	3195	4300	7613	4628	21028
gene20	0	0	0	0	0	0	0	0	0	0	0	0
gene21	0	3	2	1	0	1	1	2	0	3	1	4
gene22	5567	4793	2009	3050	4355	4642	3760	2023	2572	4923	1922	9614
gene23	3067	2648	1532	2408	2715	2242	2540	1330	1149	2419	1543	6355
gene24	153	117	63	92	89	108	110	66	76	199	73	419
gene25	74	23	13	43	26	25	31	17	20	26	24	95
gene26	5023	4377	2165	3108	4011	4114	4029	2031	1953	4008	2264	9442
gene27	5755	5065	2348	3551	4229	4600	4529	2265	2690	5754	3412	14005
gene28	2023	1602	852	1310	1568	1322	1444	754	1092	1907	1277	5032
gene29	1105	817	578	655	1127	991	1024	634	296	640	463	1408
gene30	45	22	20	24	35	18	22	33	19	43	22	131
gene31	918	943	433	602	633	740	777	434	349	886	487	2118
gene32	3374	2568	1099	1497	2591	1844	1650	937	2142	2796	1527	5628
gene33	1523	1341	600	1056	1278	1243	1185	655	608	1374	708	3355
gene34	870	906	457	817	731	762	706	462	393	888	497	2312
gene35	1	1	2	2	6	5	3	0	1	2	5	15
gene36	5	5	1	2	11	5	1	0	1	3	1	2
gene37	2450	2107	1122	1825	2057	1664	1622	1193	958	1969	1140	5073
gene38	0	0	0	0	0	0	0	1	0	0	0	0
gene39	0	0	0	0	0	0	0	0	0	0	0	0
gene40	0	0	0	0	0	0	0	0	0	1	0	0
gene41	673	495	386	551	561	394	669	350	271	436	368	1596
gene42	340	245	144	186	262	205	243	108	274	484	232	1129
gene43	5581	4686	3001	3892	4650	4125	4332	2562	2891	5558	3551	13786
gene44	2	5	0	2	6	7	4	3	0	10	3	3
gene45	953	618	445	651	776	481	621	388	641	760	686	2669
gene46	288	203	133	170	249	155	221	102	217	263	199	868
gene47	21076	17584	11651	17286	16907	14526	17477	10447	9307	17055	12913	53376
gene48	2210	1727	1154	1822	1708	1482	1738	1079	948	1648	1351	5527
gene49	0	0	2	0	0	0	0	1	0	0	0	2
gene50	142	70	37	65	97	80	87	32	70	99	71	312
gene51	37	23	29	41	29	10	39	27	21	13	28	144
gene52	4831	3518	2258	3395	5283	3574	4528	2735	1937	3461	2470	11616
gene53	0	0	1	0	1	0	0	0	2	3	0	0
gene54	10	17	4	17	18	39	25	20	10	19	8	33
gene55	1679	1112	701	1020	2043	1074	1791	909	1715	2092	1366	6452
gene56	266	244	96	135	332	234	226	137	292	430	144	807
gene57	6	9	0	3	1	0	0	0	3	7	1	5
gene58	201	266	137	149	82	31	42	41	216	208	179	925
gene59	104	154	46	131	39	29	33	23	127	123	99	471
gene60	341	430	144	221	127	72	87	38	372	344	242	1238
gene61	0	0	0	0	0	0	0	0	0	0	0	0
gene62	4799	4359	2149	3217	4032	3481	3138	2091	2740	5538	2977	13897
gene63	50	48	17	38	42	48	44	25	41	86	64	202
gene64	3072	2475	1418	2197	2586	2081	2244	1251	1955	3158	2072	9348
gene65	0	2	0	1	0	3	0	0	0	1	0	0
gene66	2	0	0	0	0	0	0	0	0	0	0	2
gene67	8	1	4	4	1	0	0	3	0	2	3	13
gene68	4700	3818	2542	3584	3986	3218	3918	2443	1774	3319	2534	9735
gene69	0	0	0	2	0	0	0	0	0	0	0	0
gene70	18	8	16	23	18	5	20	10	14	9	18	84
gene71	807	485	412	683	646	572	716	647	883	849	936	3327
gene72	0	0	0	0	0	0	0	0	0	0	0	0
gene73	1	0	0	0	0	1	2	0	2	2	0	1
gene74	0	0	0	0	0	0	0	0	0	0	0	0
gene75	0	0	0	0	0	0	0	0	0	0	0	0
gene76	6757	4725	3222	4524	4006	3452	4957	2449	8941	11454	7862	41546
gene77	2302	2035	1234	1869	1967	1821	1896	1213	1155	2257	1578	6277
gene78	602	314	171	300	475	228	359	201	542	598	443	1613
gene79	4	1	2	1	0	2	1	2	0	5	4	10
gene80	0	0	0	0	0	0	0	0	0	0	0	0
gene81	0	0	0	0	0	0	0	0	0	0	0	0
gene82	0	0	0	0	0	0	4	2	0	1	0	3
gene83	0	0	0	0	0	1	0	1	0	1	0	1
gene84	12	8	7	9	9	9	9	0	5	20	15	35
gene85	3228	2882	1888	2874	2760	2600	2930	1708	1422	2920	2194	8930
gene86	757	822	467	626	789	1089	921	538	240	537	385	1331
gene87	603	398	200	361	515	317	362	263	154	209	163	723
gene88	0	0	0	0	0	0	0	0	0	0	0	0
gene89	42	62	29	36	40	66	29	18	36	62	31	99
gene90	0	0	0	0	0	0	0	0	0	0	0	0
gene91	0	1	0	0	0	0	0	0	0	0	0	0
gene92	59	87	50	48	45	88	108	43	6	40	17	83
gene93	6	60	32	34	28	38	53	24	24	79	33	144
gene94	0	11	0	0	0	0	0	0	0	0	0	2
gene95	592	320	278	445	481	235	371	294	312	420	423	1845
gene96	8787	7705	4914	7099	7551	6354	7256	4344	4636	8391	6116	23254
gene97	2355	2216	1710	2344	2069	1850	2578	1415	1168	2334	1867	7637
gene98	63	62	40	42	28	32	41	25	61	78	56	239
gene99	0	1	0	0	0	0	0	0	0	0	0	0
gene100	2	5	1	1	2	0	0	0	1	0	2	1
gene101	0	0	0	0	0	0	0	0	0	0	0	3
gene102	10	17	6	14	4	12	5	0	9	25	18	61
gene103	0	4	3	3	2	2	3	1	2	11	2	19
gene104	0	0	0	0	0	0	0	0	0	0	0	0
gene105	216	212	122	135	156	130	168	98	364	573	323	1564
gene106	1341	1179	644	779	1107	960	968	492	772	1593	937	3189
gene107	996	854	596	822	777	713	899	455	573	950	741	3229
gene108	351	333	225	272	244	291	293	139	198	478	260	1077
gene109	4017	3402	2307	3046	3227	2693	3256	1950	1917	3872	2935	10817
gene110	1912	1502	1081	1698	1415	1240	1511	960	1093	1694	1432	5770
gene111	1778	1391	723	986	1527	1019	894	647	990	1507	1007	3585
gene112	268	206	148	149	180	153	203	77	253	319	289	954
gene113	1726	1563	817	1070	1463	1287	1113	678	940	1934	1201	3855
gene114	0	0	0	0	1	0	0	0	2	0	0	1
gene115	649	419	275	288	697	366	426	234	247	231	225	481
gene116	716	404	285	392	1309	734	895	490	40	38	27	54
gene117	0	0	1	0	0	2	1	0	0	0	0	0
gene118	0	0	0	0	0	0	0	0	0	0	0	0
gene119	954	689	480	623	752	560	768	376	862	1043	866	3134
gene120	3024	2195	1712	2698	2370	1769	2486	1642	1170	2006	1728	7709
gene121	450	221	161	238	362	139	226	156	289	205	205	875
gene122	4701	3371	1823	2767	3636	2756	2642	1738	1902	3309	2008	7832
gene123	833	646	448	605	689	530	602	441	510	687	519	2006
gene124	34	14	8	26	15	12	18	20	15	4	13	53
gene125	1407	1162	769	1259	1225	822	1163	670	775	1345	1188	4595
gene126	3434	2119	1463	2221	3010	1835	2666	1786	1054	1635	1326	5469
gene127	1	0	0	0	0	0	0	0	0	0	0	0
gene128	3	0	0	0	0	1	1	0	0	1	2	1
gene129	0	0	1	0	1	0	0	2	0	0	0	0
gene130	2234	2531	1316	1433	1475	1731	1791	810	2439	5370	3083	11344
gene131	0	0	0	0	0	0	0	0	0	0	2	0
gene132	3064	3190	1829	2457	2806	2517	2391	1479	1049	2461	1534	5551
gene133	3322	1969	1206	1671	3044	1759	1648	1170	1399	1949	1517	5243
gene134	380	285	167	273	327	223	310	183	252	413	326	1370
gene135	1	5	2	3	5	1	4	1	0	2	6	9
gene136	124	68	42	58	79	91	78	34	85	134	114	323
gene137	1323	717	562	991	1117	543	837	565	694	816	775	3480
gene138	594	532	275	318	569	501	633	333	932	1098	670	2883
gene139	19	6	8	6	4	0	2	3	30	26	17	117
gene140	1786	1690	1062	1841	1539	1253	1375	883	570	1069	917	4627
gene141	0	0	1	0	0	0	0	0	0	0	0	0
gene142	85	56	46	65	14	13	25	12	20	27	34	102
gene143	3647	3699	1695	2900	1990	2473	2107	1384	1780	3682	2363	8019
gene144	98	106	50	57	48	44	61	37	215	259	100	773
gene145	130	180	47	73	50	47	40	23	68	131	71	218
gene146	80	68	41	69	32	18	46	13	42	60	64	201
gene147	1	0	1	1	0	2	3	1	0	1	0	1
gene148	260	155	68	130	252	189	141	128	147	152	115	449
gene149	3390	2968	1744	2462	2194	1534	1704	1141	638	1463	998	3807
gene150	26	17	13	19	10	11	18	5	12	50	21	136
gene151	35	32	9	12	4	38	15	9	13	57	31	62
gene152	609	748	391	682	169	212	213	127	341	980	548	2863
gene153	8	3	4	1	8	1	5	1	32	1	4	52
gene154	3	2	1	1	3	0	5	1	1	0	1	3
gene155	2492	2037	1003	1214	2111	1783	1364	870	932	1957	955	3896
gene156	7	3	0	10	5	2	2	3	3	6	7	32
gene157	438	337	159	249	120	86	123	74	141	142	100	515
gene158	209	252	129	155	133	124	170	64	77	166	98	336
gene159	0	0	0	0	0	0	0	0	0	0	0	0
gene160	1387	1069	479	695	950	796	589	381	1114	1544	704	2816
gene161	12	19	0	1	6	8	2	3	8	15	1	7
gene162	694	545	258	394	503	492	414	246	385	743	360	1571
gene163	2655	2136	1252	1713	2008	1735	1865	1178	1468	2487	1941	7067
gene164	2647	2006	1309	1746	2451	1761	2030	1210	1062	1560	1223	4533
gene165	1180	796	418	663	831	735	566	386	622	954	585	2327
gene166	15	6	5	5	8	9	12	5	7	4	7	31
gene167	2	3	3	4	5	1	2	2	2	0	0	4
gene168	356	274	181	255	325	226	270	177	293	326	308	1021
gene169	10	12	6	19	12	20	10	8	7	35	13	64
gene170	53	40	39	23	40	20	19	5	57	123	110	236
gene171	153	117	62	69	131	108	70	27	92	186	91	258
gene172	511	402	239	258	727	482	507	238	398	689	374	1263
gene173	2943	2415	1467	2132	2417	2086	2456	1404	1581	2858	2018	7840
gene174	4024	3239	2666	3567	3598	3007	3627	2241	1440	2970	2350	8469
gene175	9200	8103	4644	6592	7863	6921	6826	4117	4269	8528	5127	21000
gene176	705	626	321	467	550	454	423	279	296	416	333	1361
gene177	171	852	60	67	155	126	89	38	173	408	279	1702
gene178	0	0	0	0	2	2	1	0	2	2	1	9
gene179	2124	948	623	879	1855	822	875	607	894	942	775	2832
gene180	10	4	5	7	8	10	4	3	1	19	2	11
gene181	0	0	1	0	1	0	0	0	0	0	0	3
gene182	9	9	5	6	12	1	13	0	9	16	9	43
gene183	1981	1050	435	572	1453	834	710	378	1136	1282	742	2401
gene184	5232	2715	1904	3506	3246	1950	2911	1979	3460	3522	3406	15350
gene185	2128	2022	1103	1283	1545	1432	1319	761	1172	2383	1556	4934
gene186	126	119	81	104	162	106	132	65	59	117	72	249
gene187	2552	2065	1512	1967	2124	1811	2317	1454	811	1674	1281	4720
gene188	1273	846	550	744	1056	705	714	464	650	1029	734	2842
gene189	85	32	22	35	47	28	28	32	34	51	32	159
gene190	1031	731	537	664	857	640	752	379	605	728	683	2110
gene191	92	57	86	114	71	42	149	75	45	62	166	551
gene192	4	59	4	3	22	4	12	4	11	17	6	29
gene193	1379	1123	874	1248	1246	938	1229	849	583	1033	920	3475
gene194	0	0	0	0	1	0	1	0	0	0	0	0
gene195	0	0	0	0	0	0	0	0	0	0	0	0
gene196	91	92	42	54	90	70	95	39	67	97	42	270
gene197	255	318	150	118	220	283	215	109	204	493	235	734
gene198	596	401	216	252	316	231	156	113	187	359	182	560
gene199	738	497	276	583	444	379	395	284	495	720	532	2423
gene200	1668	1535	725	841	1390	1185	942	529	764	1319	767	2716
gene201	0	0	0	0	1	0	0	0	0	0	0	0
gene202	1127	770	336	465	978	738	501	359	455	780	403	1285
gene203	0	0	0	0	0	1	0	0	1	1	0	1
gene204	1827	1547	842	1025	1485	1212	1126	691	1219	1848	1056	3948
gene205	5	4	1	3	9	2	4	2	5	4	2	8
gene206	1860	1987	861	1318	1299	1472	1460	786	858	2016	1056	4355
gene207	0	0	0	0	0	0	0	0	0	0	0	0
gene208	5563	4675	3115	4455	4442	3609	4594	2678	3062	5543	3960	16038
gene209	19626	16589	10851	15506	14022	12842	17112	9549	10829	18890	15200	60391
gene210	430	222	261	403	374	232	626	293	867	855	1287	4190
gene211	25	18	5	8	11	12	7	4	6	16	9	15
gene212	3788	2823	1833	2549	3451	2544	2737	1793	1727	2819	2134	8081
gene213	693	498	332	486	578	415	470	279	302	473	350	1304
gene214	2066	1519	934	1212	1689	1119	1365	807	1025	1444	1010	3858
gene215	45	12	16	13	28	8	25	13	19	14	28	60
gene216	678	541	363	522	480	430	527	325	266	466	339	1253
gene217	2551	1833	1181	1642	1465	1191	1362	835	776	1404	1069	4110
gene218	4	8	0	7	2	2	1	3	0	3	3	8
gene219	226	135	70	124	238	84	125	84	111	110	119	379
gene220	1039	695	281	356	769	742	377	209	506	1033	404	1320
gene221	728	583	284	397	698	578	494	273	285	631	327	1217
gene222	0	0	0	0	0	0	0	0	0	0	0	0
gene223	3357	2166	1800	2484	3019	2018	2755	1692	1267	1982	1792	7960
gene224	832	547	303	492	682	437	452	321	568	618	463	1893
gene225	1540	1518	1013	1049	835	784	1121	495	3182	5409	3629	14824
gene226	3019	2078	1224	1685	2270	1676	1861	967	1513	2691	1745	6917
gene227	805	647	344	529	612	468	427	293	373	713	466	1892
gene228	0	0	0	0	0	0	0	0	0	0	0	0
gene229	0	0	0	0	0	0	0	0	0	0	0	0
gene230	1919	1575	661	691	1457	1228	804	466	778	1401	664	1950
gene231	1841	1453	838	1006	1251	1207	1057	611	983	1799	1110	3934
gene232	0	0	0	0	0	0	0	0	0	0	0	0
gene233	0	0	0	0	0	0	0	0	0	0	0	0
gene234	7	4	3	4	2	2	5	0	2	5	3	14
gene235	0	0	0	0	0	0	0	0	0	0	0	0
gene236	1	0	1	1	0	0	1	0	0	0	1	3
gene237	0	0	0	0	0	0	0	0	0	0	0	0
gene238	2	1	1	0	1	0	0	0	0	2	1	2
gene239	0	0	0	0	0	0	0	0	0	0	0	1
gene240	0	0	0	0	0	0	0	0	0	0	0	0
gene241	3140	3196	1460	1891	2482	2523	2085	1144	1574	3149	1797	6450
gene242	3646	3350	1662	2008	2979	2778	2113	1439	1421	2799	1679	5449
gene243	5572	3563	1466	1961	4518	2993	2086	1368	1979	3150	1524	5384
gene244	1935	1323	706	952	1732	1182	971	602	814	1230	662	2649
gene245	2	0	0	0	0	0	0	0	1	1	0	7
gene246	0	0	0	0	0	0	0	1	1	2	1	8
gene247	1213	1445	791	815	720	947	823	352	1334	3364	1452	6106
gene248	0	0	0	0	0	0	0	0	0	0	0	0
gene249	0	0	0	0	0	0	0	1	0	0	0	0
gene250	0	0	0	0	0	0	0	0	0	3	1	1
gene251	8	4	9	0	2	0	0	0	3	6	1	4
gene252	19	6	7	2	0	11	1	2	8	16	11	37
gene253	6	2	5	4	1	0	3	1	3	9	9	7
gene254	32	14	5	24	16	6	13	9	33	31	27	81
gene255	2298	1117	923	1352	1557	975	1395	836	1849	1847	2134	6795
gene256	75	83	30	34	32	48	60	18	73	119	68	246
gene257	5916	4959	2599	3559	4283	3815	3544	2417	3167	5421	2928	12879
gene258	23	17	6	7	14	7	16	8	39	22	18	92
gene259	649	416	238	391	490	342	358	220	568	554	315	1495
gene260	1434	1097	682	992	1251	971	1000	685	872	1261	873	3788
gene261	2517	1712	1188	1734	2163	1622	1885	1298	1850	2616	1868	7372
gene262	12	3	6	3	16	18	130	77	64	128	50	279
gene263	1	0	0	1	1	0	1	1	1	0	4	3
gene264	737	673	342	717	557	557	462	387	308	418	321	1315
gene265	3917	2549	1513	1844	2428	1345	1344	769	781	1255	853	2803
gene266	76	67	31	53	71	29	45	15	13	15	22	52
gene267	5127	4701	2150	3434	4751	4125	3467	2673	3300	6396	3691	15081
gene268	0	0	0	0	0	0	0	0	1	0	0	0
gene269	2	1	0	3	4	4	6	3	2	7	0	7
gene270	814	485	255	344	560	401	294	211	294	441	242	843
gene271	0	1	0	1	3	0	1	2	1	2	0	11
gene272	1220	881	445	537	1035	721	644	384	728	1114	701	2240
gene273	268	255	108	110	119	89	70	25	76	92	53	144
gene274	0	0	0	0	0	0	0	0	0	0	0	0
gene275	381	255	160	214	268	207	165	142	196	239	140	759
gene276	12	2	3	2	20	0	2	6	0	1	0	6
gene277	1	0	0	1	0	0	0	0	0	0	1	0
gene278	60	36	20	34	72	38	32	25	65	58	45	138
gene279	3059	2511	996	1300	2101	2009	1374	853	1389	2661	1186	4419
gene280	7	1	0	1	0	0	0	0	6	1	0	2
gene281	3	0	0	0	1	0	1	0	4	1	0	5
gene282	2395	2215	1090	1671	2192	1982	1725	1071	1239	2379	1150	5348
gene283	61	38	22	48	51	34	32	23	22	17	21	157
gene284	2196	1718	991	1207	1937	1648	1340	867	844	1324	912	2725
gene285	0	2	1	0	4	2	1	0	1	4	0	9
gene286	0	0	0	0	0	0	0	0	1	0	0	0
gene287	234	188	127	139	194	119	103	66	133	235	151	636
gene288	1	0	0	0	0	0	0	0	0	0	0	0
gene289	620	578	252	376	287	276	255	149	693	957	589	2581
gene290	227	137	65	187	158	88	145	141	115	148	106	455
gene291	899	843	413	529	866	702	536	341	564	892	526	1937
gene292	1	2	3	4	3	2	5	2	2	14	2	19
gene293	2149	1660	765	1008	868	660	555	297	851	1141	745	2416
gene294	1	3	0	1	0	0	0	0	1	3	1	3
gene295	1188	1337	587	683	950	1016	834	427	565	1716	808	2725
gene296	0	1	0	0	0	0	0	0	0	0	1	0
gene297	715	583	250	343	424	345	297	148	505	970	520	1669
gene298	124	145	57	80	94	81	101	42	52	93	77	207
gene299	63	32	21	15	48	24	22	19	29	37	37	126
gene300	1215	578	485	897	964	473	725	544	688	723	866	3503
gene301	1312	1220	759	1089	1142	981	1077	679	484	1029	780	2807
gene302	0	0	0	0	0	0	0	0	0	0	0	2
gene303	1144	813	483	795	676	509	579	364	755	1076	1009	3925
gene304	46	55	17	48	12	10	9	7	11	13	12	43
gene305	0	0	0	0	0	0	0	0	0	0	0	0
gene306	0	0	0	0	0	0	0	0	0	0	0	0
gene307	0	0	0	0	0	0	0	0	0	0	0	0
gene308	0	0	0	0	0	0	0	0	0	0	0	0
gene309	3	6	2	4	8	3	5	6	0	0	1	1
gene310	321	269	193	199	261	270	250	104	186	342	192	793
gene311	12	11	4	5	13	5	12	5	2	9	3	27
gene312	7471	5530	2673	3758	6375	4901	3776	2608	3692	6232	3111	12678
gene313	607	404	335	428	309	287	287	203	204	385	246	992
gene314	23	21	14	15	31	39	41	21	16	36	28	82
gene315	144	80	26	43	137	142	77	57	126	228	81	228
gene316	0	0	0	0	0	0	0	0	0	0	0	0
gene317	2209	2097	1511	2179	1810	1679	1969	1229	901	1951	1781	6926
gene318	6	0	3	1	1	3	4	4	2	1	4	5
gene319	3294	2840	1121	1432	2653	2593	1658	969	2461	3947	2082	7299
gene320	3597	3025	1319	1687	2057	1929	1529	954	2780	4813	3107	10199
gene321	2	0	0	0	0	0	0	0	0	2	0	1
gene322	1	0	0	0	1	0	0	0	0	0	0	1
gene323	0	0	0	0	0	0	0	0	0	0	0	0
gene324	216	126	74	60	179	147	145	67	126	199	141	452
gene325	0	0	0	0	0	0	1	0	0	0	0	2
gene326	1525	1537	524	523	1076	1277	700	384	633	1679	691	1756
gene327	2590	1877	1021	1374	1923	1564	1346	923	1150	2122	1228	4338
gene328	0	0	0	0	0	0	0	0	0	0	0	0
gene329	0	13	1	0	2	6	0	0	0	5	1	0
gene330	5205	3052	2438	3344	4502	2776	3540	2355	1860	2924	2388	9420
gene331	819	635	427	500	788	545	493	329	406	692	493	1494
gene332	890	893	361	448	597	519	459	243	274	597	336	892
gene333	238	221	103	141	117	150	155	90	185	332	214	854
gene334	23	16	15	15	38	23	38	19	129	171	81	342
gene335	0	0	0	0	0	0	0	0	2	0	0	2
gene336	784	844	247	296	652	756	349	186	368	938	286	896
gene337	2369	2133	1019	1243	1956	1743	1379	861	924	2036	1204	3654
gene338	0	0	0	1	3	1	0	0	0	0	0	0
gene339	1113	1012	648	837	966	761	846	540	589	1040	793	2966
gene340	58	41	27	23	136	46	70	34	21	37	22	99
gene341	85	64	31	57	97	32	13	17	49	109	66	313
gene342	32	62	15	34	35	25	15	6	31	111	49	236
gene343	783	987	509	742	374	285	486	225	723	1250	1027	4887
gene344	0	1	0	0	0	0	0	0	0	0	1	2
gene345	10414	9389	3822	5435	5311	4266	2563	2142	5157	8729	3658	14063
gene346	2346	1976	612	943	1263	1167	560	429	1668	2534	751	3414
gene347	1207	921	525	670	936	726	704	481	591	933	692	2336
gene348	2704	2282	1273	1784	2110	1768	1694	993	971	1910	1213	4503
gene349	3330	3115	1584	2362	2836	2548	2628	1507	2371	4665	2862	11405
gene350	0	0	0	0	0	2	0	0	0	2	0	0
gene351	1	0	0	0	0	0	0	0	0	0	0	3
gene352	765	420	217	350	592	306	205	171	178	272	136	406
gene353	476	345	196	323	370	267	252	198	229	420	274	1113
gene354	346	311	137	171	264	224	206	90	205	399	208	743
gene355	4163	3673	1160	1373	3078	2772	1381	1000	1728	3973	1434	4348
gene356	22	7	3	7	14	4	15	4	14	7	17	29
gene357	43	22	12	13	18	9	18	4	23	36	17	70
gene358	0	0	0	0	0	0	0	0	0	0	0	0
gene359	6106	4050	2579	3026	1860	1683	1715	851	4009	5343	3036	10720
gene360	0	9	5	2	3	4	5	3	4	2	0	6
gene361	124	96	58	81	101	81	87	56	67	97	77	262
gene362	228	164	97	80	72	48	59	36	296	219	159	660
gene363	0	1	10	6	1	1	5	2	1	0	11	27
gene364	4	3	0	1	6	0	1	1	7	1	2	9
gene365	0	1	0	2	0	0	0	0	0	0	1	0
gene366	132	195	55	87	113	141	102	58	100	243	118	402
gene367	1949	1826	1077	1329	1340	1361	1512	759	920	1937	1389	4407
gene368	10517	9913	6398	8993	8741	7795	8910	5397	4009	8716	6466	23780
gene369	4567	3190	1375	2220	3557	2557	1841	1462	1972	2712	1562	5667
gene370	45	47	26	50	36	49	68	28	18	55	40	142
gene371	3760	2867	1209	1533	2890	2417	1832	1225	2143	3631	1620	6075
gene372	37	20	7	5	21	27	7	6	83	97	20	91
gene373	0	2	1	0	0	3	5	1	0	9	22	27
gene374	0	0	1	0	1	0	0	0	0	0	2	2
gene375	2	2	0	0	0	0	0	1	2	0	2	6
gene376	0	0	0	0	0	0	0	0	0	0	0	0
gene377	0	0	0	0	0	0	0	0	0	0	0	0
gene378	161	126	70	97	47	48	43	31	44	86	33	140
gene379	2136	1104	828	1131	1714	946	936	784	976	1228	1000	3391
gene380	1426	1433	571	744	1250	1187	836	527	740	1532	684	2705
gene381	1299	1117	694	839	658	520	478	342	475	826	739	1843
gene382	0	0	0	0	0	0	0	0	0	0	0	0
gene383	0	0	0	0	1	0	0	0	0	1	0	0
gene384	2	2	0	0	1	0	0	0	1	2	0	1
gene385	65	35	32	25	21	21	16	17	52	47	31	103
gene386	0	0	0	0	0	0	0	0	0	0	0	0
gene387	0	0	0	0	0	0	0	0	1	0	0	0
gene388	24	66	21	289	7	13	8	147	9	96	48	1511
gene389	110	106	11	48	21	12	7	5	20	39	8	38
gene390	1	0	0	0	0	0	0	1	0	0	0	3
gene391	3129	2560	1290	1776	2558	2213	1789	1084	1342	2409	1391	5146
gene392	4	7	1	2	1	2	6	1	3	5	2	16
gene393	3022	1809	1113	1549	2375	1699	1632	1017	1514	2269	1390	5040
gene394	16	12	14	12	15	14	18	6	9	35	19	64
gene395	602	521	355	471	504	650	654	320	710	1570	1041	3808
gene396	2	1	6	2	2	8	1	0	2	7	7	10
gene397	91	68	24	29	114	136	164	37	221	172	188	708
gene398	7	7	2	5	10	6	10	5	5	18	13	26
gene399	484	464	297	349	497	488	430	226	344	688	475	1665
gene400	3645	3087	1476	2220	2601	2304	2501	1480	1031	2035	1398	5060
gene401	675	792	528	669	655	635	666	424	432	1028	622	2538
gene402	23984	21459	10542	14417	21915	18361	17269	10114	12029	22811	11946	52183
gene403	6501	5096	2610	3581	5927	4297	3592	2512	2541	4375	2544	9074
gene404	1361	864	635	849	1098	703	789	547	823	1076	942	3489
gene405	0	3	0	0	0	0	1	0	3	1	0	4
gene406	5808	5409	2576	3108	4601	4545	3362	1969	1105	2159	1320	4175
gene407	3774	2785	1509	2095	2732	2120	1943	1226	1933	3129	1858	6557
gene408	1121	891	418	832	764	642	509	427	177	357	238	729
gene409	0	0	0	2	0	0	1	0	0	0	0	2
gene410	1479	1178	487	1027	1574	1571	1212	920	340	804	304	1287
gene411	3009	2119	1305	2005	2477	1627	2033	1337	1108	1692	1414	5525
gene412	403	384	196	262	398	437	378	235	331	675	396	1449
gene413	1120	983	829	1210	1018	812	1279	699	371	751	686	2610
gene414	13	10	10	7	11	8	19	6	2	12	9	19
gene415	1801	1318	788	1322	1755	1474	1645	920	723	1272	724	3419
gene416	827	776	295	384	784	796	521	311	688	1197	542	2051
gene417	619	502	284	463	535	477	453	286	491	633	558	2023
gene418	1153	974	456	691	970	744	591	389	502	932	569	2177
gene419	12355	9542	5621	7473	9491	7671	7753	5118	5364	10075	6554	24559
gene420	658	643	352	473	536	613	538	335	296	653	417	1600
gene421	0	0	0	0	0	0	0	0	0	0	0	0
gene422	0	0	0	0	0	0	0	0	0	0	0	0
gene423	0	0	0	0	0	0	0	0	0	0	0	0
gene424	1645	1114	585	890	1293	896	980	558	777	1279	816	3109
gene425	6592	5112	2085	2594	5048	4070	2458	1745	2918	4932	2458	6972
gene426	6703	5362	3393	5178	5723	4537	5346	3228	2570	5054	3583	14838
gene427	2424	1826	1047	1301	1915	1574	1700	951	1558	2448	1472	5576
gene428	0	1	1	0	2	2	2	0	1	3	1	6
gene429	828	804	394	602	705	720	622	411	510	931	588	2175
gene430	513	308	197	161	469	435	865	299	1241	1264	690	3738
gene431	7944	7244	3530	5479	6161	6522	6177	3470	3333	7364	4068	16773
gene432	0	1	1	0	0	3	0	1	0	0	2	3
gene433	1887	1551	972	1254	1745	1439	1487	885	965	1844	1195	4545
gene434	2	0	0	0	0	1	3	0	2	1	0	5
gene435	572	573	220	346	478	459	318	193	287	647	288	978
gene436	0	0	0	0	0	0	0	0	0	0	1	0
gene437	21104	16218	10192	15431	20386	15754	16337	11206	6881	12620	8373	36588
gene438	0	1	0	0	1	0	1	0	1	1	0	1
gene439	0	0	0	2	4	0	0	0	0	0	0	1
gene440	0	0	2	1	0	0	2	0	0	0	1	0
gene441	501	345	222	317	416	348	306	192	372	572	349	1322
gene442	1	0	0	0	0	0	0	0	2	0	1	2
gene443	0	0	0	0	0	0	0	0	0	0	0	0
gene444	3274	2412	1530	2165	2807	2146	2288	1362	1366	2317	1695	6387
gene445	13	9	3	8	8	13	12	5	6	9	3	30
gene446	831	673	374	576	683	484	492	350	188	182	195	740
