Geneid	583FL	583HL	583K	595FL	595HL	595K	707FL	707HL	707K	710FL	710HL
DNOV00016701	17	9	4	7	7	3	5	4	0	6	4
DNOV00016702	1356	2370	896	810	1520	792	2554	1844	1233	1026	1478
DNOV00016703	85	26	48	48	19	11	100	37	36	55	30
DNOV00016704	252	413	201	154	183	145	415	325	193	159	234
DNOV00016705	43	50	31	42	33	13	90	64	39	40	37
DNOV00016706	534	891	340	337	571	288	753	635	406	264	421
DNOV00016707	0	0	0	0	0	0	0	0	0	0	0
DNOV00016708	60	133	62	68	117	32	197	117	85	71	113
DNOV00016709	270	451	163	192	323	178	493	409	278	216	319
DNOV00018283	4	1	8	2	3	1	15	4	8	2	5
DNOV00018284	17	4	21	16	14	13	57	26	20	19	11
DNOV00018285	108	169	59	93	95	72	270	133	108	90	117
DNOV00001892	179	288	144	141	282	140	363	293	182	192	267
DNOV00001893	1120	1596	783	685	1008	579	2018	1476	1014	792	1153
DNOV00001894	403	441	294	228	303	187	530	352	270	199	296
DNOV00001895	123	148	88	87	118	68	205	130	131	83	135
DNOV00001896	483	444	335	129	190	159	723	452	365	92	157
DNOV00001897	1644	1653	1322	1003	1203	914	2325	1321	1225	665	817
DNOV00001898	0	2	0	0	0	1	8	5	1	0	1
DNOV00001899	6	1	8	3	1	0	18	15	15	0	0
DNOV00001900	1712	2113	1294	690	1039	713	3947	2578	2073	920	1162
DNOV00001901	3687	4899	2710	2049	2850	1834	5929	4061	3001	2472	3075
DNOV00001902	6	2	0	0	0	1	2	1	4	2	5
DNOV00001903	92	133	64	47	92	61	123	127	86	58	100
DNOV00001904	166	111	74	177	93	96	301	101	129	77	84
DNOV00001905	38	45	34	14	28	14	36	25	15	10	13
DNOV00001906	1	0	0	0	0	0	0	2	0	0	1
DNOV00001907	1486	1510	1133	917	833	803	2375	1046	1227	807	665
DNOV00001908	0	0	0	0	0	0	0	0	0	0	0
DNOV00001909	1303	2060	795	833	1325	670	2224	1657	1076	871	1278
DNOV00001910	1044	1299	862	615	700	570	1553	939	958	590	596
DNOV00001911	232	235	160	83	107	109	203	115	133	53	81
DNOV00001912	2240	3282	1468	1258	1878	1177	3974	2476	2056	1384	1866
DNOV00001913	4	8	12	0	6	6	3	7	4	2	1
DNOV00001914	19	10	20	7	9	6	37	8	10	21	13
DNOV00001915	2797	2627	2144	2263	1898	1844	4200	2361	2277	1846	2002
DNOV00001916	599	708	441	335	464	324	929	581	462	426	449
DNOV00001917	3866	5595	2682	2360	3292	2162	4359	2814	2119	1456	2117
DNOV00001918	100	124	67	80	68	63	116	56	81	43	41
DNOV00001919	812	706	458	579	391	383	1156	465	425	364	313
DNOV00001920	487	599	331	235	399	306	656	433	351	255	357
DNOV00001921	1015	1192	676	689	888	599	1893	1034	927	799	964
DNOV00001922	1904	2949	1291	1159	1729	989	2891	2185	1591	1295	1863
DNOV00001923	897	1194	709	492	775	539	1522	923	755	574	820
DNOV00001924	93	53	98	48	59	61	160	49	81	43	58
DNOV00001925	1323	1828	930	786	1161	738	2119	1516	1112	981	1335
DNOV00001926	7	1	4	3	3	4	4	4	1	2	3
DNOV00001927	1	1	1	0	1	3	1	1	3	2	1
DNOV00001928	1	0	0	0	0	0	0	0	0	0	0
DNOV00001929	404	411	241	245	311	265	590	381	347	238	322
DNOV00001930	1	0	0	1	0	1	1	0	0	2	1
DNOV00001931	1630	1899	1078	828	1176	882	2667	1703	1450	1154	1175
DNOV00001932	471	679	336	292	371	264	747	453	381	315	419
DNOV00001933	179	110	152	132	86	123	246	140	156	81	174
DNOV00001934	335	391	159	149	248	132	303	176	151	141	245
DNOV00001935	197	257	159	155	200	178	369	222	203	154	228
DNOV00001936	7962	11220	5088	4934	7951	4878	10921	7873	6258	4283	5772
DNOV00001937	1	0	0	0	0	0	0	0	0	0	0
DNOV00001938	49	64	22	6	26	11	24	23	8	3	33
DNOV00001939	0	0	0	0	0	0	0	0	0	0	0
DNOV00001940	0	10	0	0	0	0	2	10	1	0	6
DNOV00001941	0	0	1	1	0	1	0	1	0	1	0
DNOV00001942	0	3	1	0	1	0	3	6	1	1	1
DNOV00001943	261	224	162	131	187	155	334	246	222	132	211
DNOV00001944	115	95	62	60	102	74	209	135	126	44	102
DNOV00001945	388	405	263	223	310	222	618	432	393	181	358
DNOV00001946	199	328	111	113	188	112	213	195	103	89	172
DNOV00001947	979	1528	626	575	917	454	1636	1424	914	604	1121
DNOV00001948	576	842	345	326	588	259	789	590	405	345	551
DNOV00001949	3390	3651	2523	2251	2498	2139	5945	2979	2997	2151	2440
DNOV00001950	806	988	539	545	619	413	1555	847	682	599	760
DNOV00001951	102	42	73	104	50	114	236	76	130	75	70
DNOV00001952	255	356	166	238	232	135	336	208	165	111	158
DNOV00001953	291	160	268	418	156	248	543	193	368	183	327
DNOV00001954	4	3	0	1	3	3	13	4	4	7	10
DNOV00001955	33	25	15	20	11	6	26	14	16	26	23
DNOV00001956	421	600	273	202	403	246	688	406	320	310	360
DNOV00001957	20	27	12	22	18	4	46	28	11	29	27
DNOV00001958	2	0	4	4	1	0	3	1	0	0	1
DNOV00001959	0	0	0	0	0	0	0	0	0	0	0
DNOV00001960	99	137	90	60	89	37	214	97	99	92	120
DNOV00001961	21	1	1	4	26	0	10	0	1	0	0
DNOV00001962	2	3	2	6	4	0	4	3	1	1	2
DNOV00001963	1977	2581	1181	1116	1378	879	3086	2391	1548	1037	1131
DNOV00001964	3480	4622	2406	1988	2921	1862	4985	3787	2750	2015	2659
DNOV00001965	64	91	44	86	59	44	73	84	41	61	56
DNOV00001966	339	530	227	422	310	220	522	410	276	323	417
DNOV00001967	132	153	98	127	135	109	270	161	154	132	147
DNOV00001968	12	4	11	13	9	22	32	18	29	22	14
DNOV00001969	346	500	318	279	217	169	641	350	317	199	274
DNOV00001970	645	89	315	587	135	348	971	179	318	358	212
DNOV00001971	202	332	125	93	175	94	311	340	189	114	159
DNOV00001972	164	225	118	96	108	72	222	172	105	70	116
DNOV00001973	93	129	55	53	70	46	163	123	87	55	60
DNOV00001974	175	288	133	111	135	84	319	257	180	125	150
DNOV00001975	1015	1537	762	559	927	488	1915	1428	965	660	985
DNOV00001976	376	555	281	206	359	218	685	525	348	276	368
DNOV00001977	582	1142	421	359	699	263	1194	859	519	573	939
DNOV00001978	241	253	168	189	226	165	342	243	181	126	142
DNOV00001979	6656	9972	4155	3856	5629	3294	12260	8912	5898	5374	7643
DNOV00001980	2	1	1	9	2	0	6	6	4	5	5
DNOV00001981	0	3	2	4	1	0	3	1	5	1	2
DNOV00001982	11	16	3	10	19	8	21	30	9	10	20
DNOV00001983	326	376	279	246	271	223	535	334	304	248	319
DNOV00001984	0	0	0	0	0	0	0	0	0	0	0
DNOV00001985	1	0	1	0	0	0	0	0	0	0	0
DNOV00001986	282	308	166	130	237	90	535	235	155	71	169
DNOV00001987	10212	13072	7007	5989	7833	5526	12164	8275	6651	4792	5821
DNOV00001988	5	13	6	12	5	5	2	1	3	2	2
DNOV00001989	371	497	242	234	324	241	709	474	358	253	263
DNOV00001990	377	457	268	217	264	240	774	457	370	251	319
DNOV00001991	921	1269	606	548	899	507	1564	1184	827	623	945
DNOV00001992	29	15	18	22	11	27	35	26	37	14	18
DNOV00001993	860	925	598	500	547	470	971	695	562	431	530
DNOV00001994	0	0	0	0	0	0	0	0	0	0	0
DNOV00001995	135	200	141	63	99	42	208	176	110	69	95
DNOV00001996	154	129	115	86	77	60	120	62	75	37	37
DNOV00001997	53	60	36	33	31	27	54	35	49	26	14
DNOV00001998	1271	964	957	760	697	576	1594	770	922	567	466
DNOV00001999	51	37	42	16	10	8	59	47	40	13	25
DNOV00002000	0	0	0	0	0	0	0	0	0	0	0
DNOV00002001	0	0	0	0	0	0	0	1	0	0	0
DNOV00002002	2	5	5	2	7	2	9	7	6	2	1
DNOV00002003	294	385	154	157	185	147	404	251	175	140	199
DNOV00002004	41	59	23	24	34	23	69	45	33	22	45
DNOV00002005	1524	1836	1009	829	1102	710	1752	1071	794	807	1133
DNOV00002006	36	95	28	29	48	22	42	33	26	7	14
DNOV00002007	0	7	3	0	4	0	6	2	1	0	0
DNOV00002008	1494	2243	985	819	1174	782	2717	1737	1329	1089	1449
DNOV00002009	200	363	140	111	295	106	376	398	203	157	441
DNOV00002010	9217	11441	6567	5634	5847	4121	14143	8286	6703	5360	5615
DNOV00017404	13	23	13	12	12	5	8	23	4	6	72
DNOV00017405	408	545	394	341	250	177	482	353	271	261	304
DNOV00017406	0	0	3	1	1	1	2	0	0	0	0
DNOV00017407	0	0	0	0	0	0	0	0	0	0	0
DNOV00017408	0	5	1	0	1	0	0	0	0	0	1
DNOV00014226	1244	1658	1003	890	1157	807	1784	1208	928	619	781
DNOV00014227	247	347	155	134	180	109	346	259	196	152	262
DNOV00014228	274	326	197	177	212	138	559	437	271	190	219
DNOV00014229	6	8	9	7	5	8	3	5	6	3	6
DNOV00014230	600	725	448	463	413	335	966	578	403	417	544
DNOV00014231	16	14	6	12	8	11	37	21	17	12	26
DNOV00014232	23241	32464	17440	17754	15033	10004	32854	21835	16256	12661	15262
DNOV00014233	0	0	0	0	0	0	0	0	0	0	0
DNOV00014234	0	0	0	0	0	0	0	0	0	0	0
DNOV00014235	1	0	0	0	0	0	0	0	0	0	1
DNOV00014236	29	45	23	14	10	11	69	65	15	26	39
DNOV00014237	3	3	5	1	2	2	3	3	3	0	1
DNOV00014238	0	0	0	0	0	0	0	0	0	0	0
DNOV00014239	1	0	0	0	0	0	0	0	0	0	0
DNOV00014240	0	0	0	0	0	0	0	0	1	0	0
DNOV00014241	0	0	0	0	0	0	0	0	0	0	0
DNOV00014242	0	0	0	0	0	0	0	0	0	0	0
DNOV00014243	0	0	0	0	0	0	0	0	0	0	0
DNOV00014244	0	0	0	0	0	0	0	0	0	0	0
DNOV00014245	0	0	0	0	0	0	0	0	0	0	0
DNOV00014246	0	0	0	0	0	0	0	0	0	0	0
DNOV00014247	0	0	0	0	0	0	0	0	0	1	0
