Geneid	583FL	583HL	583K	595FL	595HL	595K	707FL	707HL	707K	710FL	710HL
DNOV00000586	860	413	308	551	341	226	1007	335	347	436	517
DNOV00000587	1304	665	953	900	479	632	1745	515	741	827	495
DNOV00000588	8339	180	4395	9942	355	1805	5799	1331	1075	3295	80
DNOV00000589	12527	7896	13369	9356	5252	7732	14741	7258	9074	10095	4216
DNOV00000590	195	115	202	150	97	114	276	154	165	199	81
DNOV00000591	1746	2786	1058	1030	1916	941	3628	2658	1792	1460	2203
DNOV00000592	1	7	0	1	7	3	7	3	1	0	1
DNOV00000593	562	606	562	349	337	230	699	471	348	345	295
DNOV00000594	1244	1538	793	681	977	634	1649	1011	849	700	862
DNOV00000595	34	41	26	13	22	13	27	7	17	10	9
DNOV00000596	794	1020	554	498	711	479	1131	699	543	532	630
DNOV00000597	530	637	428	238	314	260	721	463	428	257	323
DNOV00000598	1512	1874	993	931	1244	974	3220	1913	1627	995	1292
DNOV00000599	17	2	3	0	0	0	2	0	0	0	0
DNOV00000600	168	184	112	117	72	63	168	109	94	58	89
DNOV00000601	1177	1460	797	670	919	596	1851	1202	929	770	1026
DNOV00000602	763	1345	482	389	647	366	915	736	476	283	570
DNOV00000603	1165	1642	908	699	965	641	1740	1210	853	653	814
DNOV00000604	126	154	118	88	136	100	231	177	153	102	116
DNOV00000605	2861	3370	1975	1864	2053	1629	4180	2425	2097	1691	1782
DNOV00000606	0	1	2	0	0	0	1	0	0	1	1
DNOV00000607	865	1162	508	480	673	410	1251	768	601	461	594
DNOV00000608	4419	2865	4456	1887	2122	2155	5697	3544	3868	2685	5147
DNOV00000609	6	14	6	5	7	4	21	8	6	2	4
DNOV00000610	3979	4508	2139	2032	2435	1537	4653	2272	2198	1628	1730
DNOV00000611	17	28	13	12	10	11	20	10	9	4	4
DNOV00000612	0	0	0	0	0	0	0	1	0	0	0
DNOV00000613	4	4	6	5	8	1	17	5	5	1	1
DNOV00000614	294	266	161	230	215	128	485	313	221	256	265
DNOV00000615	1389	759	783	1113	425	590	2827	889	869	1293	358
DNOV00000616	1	1	0	0	0	0	10	1	1	3	1
DNOV00000617	510	27	60	191	9	32	595	17	57	262	16
DNOV00000618	167	12	20	74	1	12	221	7	23	119	5
DNOV00000619	1401	2050	995	903	1352	955	2128	1374	1139	865	971
DNOV00000620	296	176	275	164	175	227	390	143	234	157	129
DNOV00000621	4	4	5	16	13	8	15	10	8	5	3
DNOV00000622	448	512	364	275	422	301	600	313	260	200	255
DNOV00000623	1696	795	1100	1394	632	924	2420	816	1011	1117	902
DNOV00000624	0	0	0	0	0	0	0	0	0	0	0
DNOV00000625	1058	1329	788	968	1384	915	2392	1476	1086	1189	1645
DNOV00000626	997	1282	788	552	816	586	1505	1095	747	711	1018
DNOV00000627	0	1	0	0	0	0	1	0	0	1	0
DNOV00000628	672	902	416	422	632	373	520	402	329	195	272
DNOV00000629	1662	2766	801	591	1022	571	1480	1083	742	528	579
DNOV00000630	12729	15900	8710	7777	9979	7196	22410	14173	11189	8572	10664
DNOV00000631	236	204	119	109	114	73	232	88	100	74	78
DNOV00000632	8	12	6	7	21	7	34	17	10	5	11
DNOV00000633	20643	34700	12445	13016	22415	11417	39807	29025	19601	17987	24474
DNOV00000634	7177	11124	4860	4318	6330	3604	11360	8238	5895	5424	7370
DNOV00000635	544	949	310	172	337	172	660	558	353	187	302
DNOV00000636	0	0	0	0	0	0	0	0	0	0	0
DNOV00000637	128	211	69	68	80	50	176	84	99	76	53
DNOV00000638	29	21	21	19	15	11	49	8	18	22	16
DNOV00000639	853	1237	550	583	816	509	1074	788	544	415	602
DNOV00000640	151	210	95	78	135	73	291	198	123	120	155
DNOV00000641	401	650	266	203	324	180	478	316	225	190	311
DNOV00000642	573	543	587	320	247	330	972	411	518	334	354
DNOV00000643	877	1343	501	376	533	353	953	622	441	346	425
DNOV00000644	122	120	75	72	79	58	188	93	94	61	55
DNOV00000645	346	325	189	179	239	168	432	239	244	120	159
DNOV00000646	12877	19048	8505	7590	10933	6330	20658	15041	10991	8589	11332
DNOV00000647	1585	1841	1288	1098	1344	1025	3280	1916	1707	1180	1603
DNOV00000648	863	1286	602	551	749	528	1464	909	757	647	794
DNOV00000649	1550	1931	1048	898	1291	774	2238	1540	1079	915	1223
DNOV00000650	1587	2518	953	896	1571	826	3151	2521	1734	1258	1840
DNOV00000651	674	661	413	465	584	463	917	510	504	327	395
DNOV00000652	1267	1456	917	771	969	679	2518	1612	1251	834	969
DNOV00000653	745	841	529	322	427	344	1014	603	526	394	461
DNOV00000654	811	884	572	442	604	469	1169	671	579	584	732
DNOV00000655	834	1020	622	526	682	543	1487	1019	799	469	645
DNOV00000656	2	1	4	1	0	0	0	3	0	0	1
DNOV00000657	2	2	0	0	1	0	0	5	0	1	2
DNOV00000658	1292	1749	868	571	886	568	1831	1283	941	690	902
DNOV00000659	823	1070	524	462	664	441	1333	802	644	547	623
DNOV00000660	607	742	477	465	481	392	900	512	480	357	484
DNOV00000661	18	22	26	14	17	11	35	19	13	27	42
DNOV00000662	1961	1954	1413	1412	1381	1369	3291	1653	1645	1517	1457
DNOV00000663	0	1	0	0	0	0	0	0	0	0	0
DNOV00000664	5	1	0	4	2	3	12	5	1	7	1
DNOV00000665	4	4	3	4	2	2	6	6	3	1	5
DNOV00000666	2357	3887	1193	1788	2546	945	3469	3194	1422	1946	2128
DNOV00000667	0	0	0	1	2	0	0	0	0	0	0
DNOV00000668	0	0	1	0	2	1	0	0	1	0	0
DNOV00000669	2	5	0	0	0	0	1	1	0	1	1
DNOV00000670	1	2	0	0	3	0	1	0	1	1	1
DNOV00000671	0	3	0	0	2	1	2	2	0	1	2
DNOV00000672	3070	4249	2177	2083	2652	1646	5267	3759	2880	2073	3342
DNOV00000673	3915	6624	2342	2206	4044	1807	7861	6520	3931	3492	5556
DNOV00000674	2085	1658	1524	1249	1071	1114	1871	1196	1168	666	739
DNOV00000675	10	10	7	8	4	0	8	12	5	3	2
DNOV00000676	494	773	283	286	507	249	562	427	285	209	336
DNOV00000677	1351	2275	791	874	1336	641	2167	1719	1061	1073	1411
DNOV00000678	1328	1570	825	717	992	720	1679	1144	875	727	969
DNOV00000679	242	351	136	135	213	134	382	261	172	102	151
DNOV00000680	43	25	16	37	15	8	26	11	9	26	14
DNOV00000681	1652	2198	1102	978	1241	921	2759	1695	1430	1182	1258
DNOV00000682	1	0	1	0	0	0	1	2	1	1	0
DNOV00000683	73	45	50	38	22	26	71	32	29	30	26
DNOV00000684	688	841	515	413	534	361	1032	687	543	434	474
DNOV00000685	127	160	65	47	61	26	186	90	58	48	54
DNOV00000686	1	0	0	0	0	1	4	0	1	0	1
DNOV00000687	1	3	0	0	1	0	0	1	0	2	1
DNOV00000688	1201	1738	825	752	1202	694	1891	1290	938	863	1187
DNOV00000689	78	154	57	70	110	76	133	128	70	75	110
DNOV00000690	176	166	107	136	151	105	347	177	178	98	170
DNOV00000691	509	587	367	313	364	267	848	567	452	261	305
DNOV00000692	30	81	36	13	39	13	40	35	18	12	46
DNOV00000693	16546	19181	12933	10520	9492	8166	24181	12958	11932	8081	9848
DNOV00000694	2682	3750	1884	1652	2309	1450	4517	3066	2366	1992	2538
DNOV00000695	15	10	11	10	9	4	23	19	8	8	2
DNOV00000696	408	510	222	225	251	174	516	347	256	212	190
DNOV00000697	30	30	19	12	19	9	39	24	19	13	29
DNOV00000698	384	275	273	413	257	202	623	200	244	253	224
DNOV00000699	4694	3645	2793	5126	2886	1871	6984	2593	2809	2470	2171
DNOV00000700	245	149	183	194	144	122	430	190	241	147	175
DNOV00000701	1270	885	1020	818	737	772	2147	934	1211	882	846
DNOV00000702	20	17	24	14	13	13	50	12	20	21	18
DNOV00000703	49	30	56	31	31	25	88	34	62	31	30
DNOV00000704	27	11	19	16	10	11	23	3	13	12	11
DNOV00000705	15	5	6	9	2	5	12	2	4	5	4
DNOV00000706	0	2	0	0	0	0	0	0	0	0	0
DNOV00000707	2	4	0	0	1	0	3	3	0	1	0
DNOV00000708	0	0	0	0	0	0	0	0	0	0	0
DNOV00000709	911	1044	476	580	737	412	1409	1061	602	601	801
DNOV00000710	615	922	431	546	638	395	1323	915	650	561	686
DNOV00000711	2037	2437	1470	1741	2056	1529	4849	3094	2428	1904	2583
DNOV00000712	2099	2723	1379	1418	1632	1070	3943	2596	1851	1693	1953
DNOV00000713	1523	1672	1028	933	1086	950	1810	1259	1109	665	775
DNOV00000714	0	0	0	0	0	0	0	0	0	0	0
DNOV00000715	1	0	0	1	0	0	2	1	0	1	0
DNOV00000716	1402	2362	1091	872	1566	849	3043	2377	1738	1275	2063
DNOV00000717	3273	3329	2673	1847	1735	1514	4980	2954	2652	1650	1904
DNOV00000718	934	1087	700	687	1064	679	1777	1268	1001	685	928
DNOV00000719	228	217	192	131	119	112	307	166	172	107	158
DNOV00000720	2	1	2	0	1	0	1	3	2	1	0
DNOV00000721	91	463	55	55	155	35	106	230	45	24	157
DNOV00000722	136	121	63	164	151	78	254	203	100	103	159
DNOV00000723	681	996	552	563	778	513	1380	888	695	551	847
DNOV00000724	1313	1416	931	814	982	703	2089	1239	1107	971	1163
DNOV00000725	3164	4029	2084	2286	2522	1762	6268	3742	2919	2500	3488
DNOV00000726	4	9	4	2	2	1	11	7	0	3	9
DNOV00000727	758	912	606	428	449	287	1051	653	554	376	477
DNOV00000728	295	245	173	186	173	112	300	207	144	129	166
DNOV00000729	17	6	7	6	1	2	12	5	5	7	2
DNOV00000730	171	110	89	189	69	140	274	68	109	147	86
DNOV00000731	3	0	1	0	0	0	1	0	0	2	1
DNOV00000732	0	0	0	0	0	0	0	0	0	0	0
DNOV00000733	89	75	50	42	46	39	94	67	50	42	32
DNOV00000734	9	5	6	5	2	5	5	6	6	3	4
DNOV00000735	41	53	31	44	55	19	119	58	60	41	49
DNOV00000736	6	3	2	2	4	2	11	3	7	2	6
DNOV00000737	1	5	2	5	3	0	6	7	6	5	3
DNOV00000738	40	93	6	5	32	3	23	42	14	16	19
DNOV00000739	15	33	1	3	7	2	7	11	2	4	5
DNOV00000740	2231	4117	1236	980	2349	1008	2997	2632	1618	1337	2211
DNOV00000741	855	1035	456	509	640	417	1202	814	557	457	582
DNOV00000742	3465	4950	1852	2327	3595	1740	6797	5202	3310	2607	4801
DNOV00000743	4	1	3	1	0	4	7	4	7	2	2
DNOV00000744	30300	16229	21807	28968	20846	25902	64621	33587	36042	33142	55561
DNOV00000745	5	2	4	2	0	3	7	1	2	0	2
DNOV00000746	91	116	71	82	86	54	237	151	136	93	118
DNOV00000747	160	184	100	96	87	66	319	203	158	103	108
DNOV00000748	0	0	0	0	0	0	0	0	0	0	0
DNOV00000749	727	846	572	508	618	423	1327	796	665	578	709
DNOV00000001	157	11	57	33	10	6	105	5	6	6	10
DNOV00000002	174	183	142	139	123	89	263	140	134	123	123
DNOV00000003	2277	2379	1627	1665	1516	1280	3504	1862	1733	1361	1364
DNOV00000004	23	34	20	38	21	31	65	21	28	17	24
DNOV00000005	683	831	363	449	598	406	647	486	435	228	327
DNOV00000006	663	779	566	458	562	402	1096	704	572	457	599
DNOV00000007	0	0	0	0	0	0	0	0	0	0	1
DNOV00000008	1	1	0	2	0	0	1	1	2	1	0
DNOV00000009	80	86	58	59	44	30	69	64	68	34	57
DNOV00000010	736	858	772	501	522	451	839	794	686	442	670
DNOV00000011	577	750	452	296	479	276	884	535	519	318	433
DNOV00000012	1364	1804	1062	805	1206	798	2461	1726	1419	1025	1455
DNOV00000013	7	8	7	6	6	7	19	5	5	2	2
DNOV00000014	1706	1445	1677	1184	1140	1146	3224	1632	1794	1240	1317
DNOV00000015	33935	46058	24515	17565	26114	17060	60234	37438	29902	22174	28435
DNOV00000016	0	0	0	0	0	0	0	0	0	0	0
DNOV00000017	1362	1890	953	896	1278	748	2419	1553	1139	1005	1225
DNOV00000018	1	2	0	1	0	1	2	1	2	1	2
DNOV00000019	1518	1038	650	750	1095	633	1591	1082	723	635	870
DNOV00000020	392	249	255	79	339	261	141	310	364	53	625
DNOV00000021	157	963	563	17	829	400	30	978	646	3	1087
DNOV00000022	4	1146	11	0	702	2	1	837	7	1	1410
DNOV00000023	4	1152	0	0	608	0	0	798	2	0	976
DNOV00000024	0	223	0	0	135	0	0	237	0	0	204
DNOV00000025	0	11	0	0	7	0	0	9	0	0	10
DNOV00000026	1633	2500	1048	958	1607	972	2236	1795	1127	908	1604
DNOV00000027	6892	11467	4728	4655	6599	3537	10778	8001	5493	4561	6171
DNOV00000028	906	1067	639	474	599	417	1665	1128	878	594	652
DNOV00000029	1023	2139	973	756	1516	941	1882	1985	1461	723	1474
DNOV00000030	4	9	1	1	5	1	9	4	3	1	1
DNOV00000031	167	332	49	47	105	20	60	85	20	14	43
DNOV00000032	120	231	41	27	66	18	54	70	23	19	38
DNOV00000033	1321	1613	1033	805	823	781	1826	892	920	637	540
DNOV00000034	531	508	441	337	333	262	984	466	449	399	417
DNOV00000035	1041	1345	869	721	974	764	2466	1564	1277	880	1177
DNOV00000036	19	61	5	25	30	6	24	43	12	7	14
DNOV00000037	2204	3595	1463	1254	2160	1143	4780	3531	2307	2192	2983
DNOV00000038	29	46	18	18	30	18	81	51	38	33	53
DNOV00000039	2326	3204	1502	1279	1748	1074	3374	2210	1821	1073	1498
DNOV00000040	2035	3668	1402	1128	1980	1067	3594	2520	1635	1525	1721
DNOV00000041	409	601	324	282	336	263	745	565	410	321	417
DNOV00000042	38	22	2	6	5	4	21	13	10	12	8
DNOV00000043	23	17	11	7	9	3	20	11	12	12	12
DNOV00000044	9	11	2	3	14	6	13	13	8	7	11
DNOV00000045	2	5	1	4	1	0	3	0	0	1	1
DNOV00000046	3478	4924	2225	1926	3418	1893	6074	4276	3086	2347	3581
DNOV00000047	1692	2185	1135	903	1207	873	2465	1411	1228	912	1158
DNOV00000048	10	21	5	6	12	5	24	18	10	4	14
DNOV00000049	2936	1821	2410	3081	1576	2607	5581	1910	3694	2533	2196
DNOV00000050	40	66	31	41	28	10	34	22	23	18	52
DNOV00000051	41	22	1	0	1	0	0	0	1	0	0
DNOV00000052	160	222	69	112	132	93	321	206	134	125	168
DNOV00000053	3	4	3	2	3	1	7	1	5	3	6
DNOV00000054	2053	3070	1462	1044	1864	1065	3236	2302	1684	1343	1898
DNOV00000055	98	101	83	62	57	41	124	74	77	34	32
DNOV00000056	4776	5672	3555	2839	3953	2692	7554	4734	3951	3155	3872
DNOV00000057	485	590	445	227	334	326	610	345	370	233	189
DNOV00000058	15	20	23	7	19	6	27	16	12	11	17
DNOV00000059	662	746	444	400	579	396	1177	570	519	493	513
DNOV00000060	531	699	331	294	368	274	857	455	341	385	399
DNOV00000061	1167	1377	849	652	851	664	1771	1015	960	701	898
DNOV00000062	2598	3354	2107	1757	2072	1688	4936	3183	2719	1950	2524
DNOV00000063	7	1	2	0	0	0	4	2	2	10	3
DNOV00000064	611	590	494	545	489	525	1015	371	473	436	348
DNOV00000065	102	78	33	108	23	10	151	55	52	62	33
DNOV00000066	10	6	7	9	4	6	35	6	12	10	4
DNOV00000067	3	0	2	4	1	2	4	1	1	0	0
DNOV00000068	1671	2312	1060	900	1374	855	2552	1920	1361	1021	1437
DNOV00000069	446	608	341	326	423	375	887	446	478	381	440
DNOV00000070	3347	5939	2087	2027	3758	1796	7412	5341	3425	3303	4837
DNOV00000071	156	175	119	68	79	61	172	89	74	49	73
DNOV00000072	200	258	114	111	155	126	342	265	206	174	230
DNOV00000073	412	587	267	240	386	243	1785	1093	922	515	699
DNOV00000074	3440	4971	2584	1683	2779	1922	8455	4979	3893	3646	5007
DNOV00000075	672	969	415	367	613	334	1075	744	541	450	598
DNOV00000076	874	916	628	615	796	658	1766	899	921	725	852
DNOV00000077	1058	495	1049	441	188	438	1558	311	814	654	248
DNOV00000078	1057	216	625	1756	447	1055	2731	450	1197	1629	264
DNOV00000079	11	1	8	6	1	5	9	1	4	8	0
DNOV00000080	102	111	78	60	57	60	221	100	111	63	51
DNOV00000081	212	227	194	125	105	120	344	168	184	129	122
DNOV00000082	1622	2943	1158	890	1667	695	2752	2077	1421	1317	1937
DNOV00000083	1139	531	1132	975	649	1011	1685	539	918	512	312
DNOV00000084	131	89	142	113	65	96	210	109	150	56	62
DNOV00000085	417	231	286	342	173	294	1050	306	509	333	241
DNOV00000086	105	56	78	53	36	64	198	48	79	71	33
DNOV00000087	44	26	36	17	23	30	71	29	41	34	30
DNOV00000088	26	34	26	14	12	7	37	17	6	14	15
DNOV00000089	547	144	374	284	118	223	553	133	264	145	85
DNOV00000090	2	0	1	2	0	3	3	0	0	3	0
DNOV00000091	89	15	94	71	25	96	218	27	141	45	18
DNOV00000092	2	2	2	6	2	3	4	2	1	5	8
DNOV00000093	1953	1545	1474	1462	1232	1346	3599	1665	2045	1408	1558
DNOV00000094	230	200	163	157	155	147	417	163	268	155	242
DNOV00000095	0	1	2	0	0	0	0	0	0	0	0
DNOV00000096	3	8	1	10	1	0	1	0	0	0	0
DNOV00000097	19	3	9	11	6	1	17	1	7	2	3
DNOV00000098	44	36	30	16	24	20	51	23	21	13	16
DNOV00000099	0	0	0	0	0	0	0	0	0	1	0
DNOV00000100	25	10	15	12	6	4	44	2	16	19	4
DNOV00000101	52	72	48	40	38	42	131	79	59	19	86
DNOV00000102	2	4	0	1	0	2	8	0	2	0	0
DNOV00000103	866	688	762	602	450	559	1369	701	859	501	738
DNOV00000104	37	186	14	14	179	8	57	252	42	3	77
DNOV00000105	380	645	203	203	377	159	518	382	268	190	245
DNOV00000106	0	0	0	0	0	0	0	0	0	0	0
DNOV00000107	0	1	0	1	3	0	0	5	1	0	2
DNOV00000108	1	1	0	4	9	1	5	16	9	0	4
DNOV00000109	118	117	92	71	90	84	238	128	132	56	75
DNOV00000110	37	26	19	15	22	11	39	32	35	11	16
DNOV00000111	367	402	248	237	272	180	732	469	362	301	354
DNOV00000112	85	183	45	30	73	50	101	87	47	23	24
DNOV00000113	3	4	0	0	1	1	4	0	3	9	0
DNOV00000114	293	296	139	178	161	138	328	233	199	123	228
DNOV00000115	108	145	85	35	68	54	153	91	104	51	37
DNOV00000116	0	1	0	0	2	0	0	0	0	0	1
DNOV00000117	1993	3015	1324	1324	1828	977	3685	2565	1911	1632	2273
DNOV00000118	924	1229	572	563	840	565	1243	861	649	482	798
DNOV00000119	2392	3138	1873	1569	2026	1411	4212	2489	2156	1744	1931
DNOV00000120	686	801	521	366	550	362	618	274	303	209	227
DNOV00000121	0	1	1	1	0	0	2	0	0	0	0
DNOV00000122	11	0	2	0	1	0	1	0	0	0	2
DNOV00000123	2041	2330	1947	1339	1794	1642	3599	2485	2415	1388	1837
DNOV00000124	276	177	220	112	88	115	387	165	194	127	122
DNOV00000125	26	11	26	11	10	13	17	6	12	8	2
DNOV00000126	1161	1351	772	851	1056	829	1966	1385	1250	818	1162
DNOV00000127	437	587	293	251	345	209	616	436	296	202	362
DNOV00000128	658	780	505	507	631	465	1223	821	680	500	668
DNOV00000129	170	186	121	149	158	142	317	198	200	127	174
DNOV00000130	0	0	1	1	1	0	0	0	0	0	0
DNOV00000131	218	59	194	248	73	90	237	135	126	103	82
DNOV00000132	26	73	25	22	66	14	37	62	22	17	51
DNOV00000133	1388	1715	916	849	892	682	1765	1197	999	769	955
DNOV00000134	5	0	6	3	0	0	4	0	0	1	1
DNOV00000135	35	44	27	38	11	14	61	25	28	25	14
DNOV00000136	0	0	0	0	0	0	0	0	0	0	0
DNOV00000137	638	821	459	528	317	194	670	420	313	195	232
DNOV00000138	990	1186	835	717	750	548	1579	1023	911	667	760
DNOV00000139	907	1043	964	548	428	359	934	572	446	299	365
DNOV00000140	1647	2179	1367	1147	1086	709	2500	1568	1249	938	1050
DNOV00000141	1349	1925	1077	840	1007	640	2367	1716	1242	952	1323
DNOV00000142	347	482	316	318	276	172	689	405	395	276	400
DNOV00000143	190	379	209	234	126	57	317	274	164	107	152
DNOV00000144	100	141	63	33	81	16	96	122	54	18	62
DNOV00000145	569	752	421	345	400	232	890	660	446	325	457
DNOV00000146	3211	4366	2416	1858	2485	1438	4625	3684	2574	1721	2195
DNOV00000147	362	454	301	259	170	148	542	306	281	185	182
DNOV00000148	730	937	597	486	572	374	1174	733	577	445	591
DNOV00000149	1054	1378	787	652	840	510	1870	1364	920	750	916
DNOV00000150	793	1008	634	518	578	382	1289	894	604	464	588
DNOV00000151	85	139	55	57	64	33	96	99	41	40	39
DNOV00000152	2	2	0	0	1	0	0	0	0	2	1
DNOV00000153	7	0	0	1	0	0	14	0	0	4	1
DNOV00000154	113	106	147	98	73	120	193	109	116	76	90
DNOV00000155	0	0	1	0	0	0	1	0	1	0	0
DNOV00000156	33	81	38	23	32	12	30	64	12	10	35
DNOV00000157	12	36	1	5	5	3	12	9	4	7	5
DNOV00000158	177	138	205	149	123	126	362	154	238	137	197
DNOV00000159	1	0	0	0	0	0	2	0	0	1	0
DNOV00000160	295	203	365	267	149	149	482	262	287	163	226
DNOV00000161	101	90	124	90	59	61	211	91	120	84	82
DNOV00000162	35	57	14	25	35	14	31	33	17	22	23
DNOV00000163	1967	3089	1329	1289	2016	1182	3377	2674	1762	1352	2065
DNOV00000164	664	985	552	432	568	377	1116	895	614	416	601
DNOV00000165	722	956	463	445	535	325	1106	847	609	409	600
DNOV00000166	963	1333	829	714	880	590	1526	1140	784	600	794
DNOV00000167	871	1210	651	517	705	439	1268	923	651	516	753
DNOV00000168	19	33	10	36	26	34	25	36	20	9	15
DNOV00000169	2082	3033	1765	1507	2017	1396	3839	2787	2155	1661	2163
DNOV00000170	1327	1766	882	832	1348	794	2717	1849	1366	1015	1429
DNOV00000171	21	18	3	5	16	1	30	16	5	4	3
DNOV00000172	483	617	381	314	302	200	682	410	317	255	278
DNOV00000173	37	28	51	17	21	14	36	30	14	8	17
DNOV00000174	26	50	19	36	19	13	46	22	14	12	15
DNOV00000175	465	610	398	367	263	178	742	464	413	243	294
DNOV00000176	962	1111	823	861	621	543	1320	821	695	545	529
DNOV00000177	391	586	318	229	193	118	589	439	314	268	315
DNOV00000178	1083	1798	724	709	971	456	1920	1526	972	707	1023
DNOV00000179	3722	4190	2797	2217	2453	1754	7229	4342	3500	2857	3476
DNOV00000180	0	0	0	0	0	0	0	0	0	0	0
DNOV00000181	47	63	95	42	32	34	106	45	25	33	27
DNOV00000182	0	6	4	4	2	1	8	7	1	3	6
DNOV00000183	0	1	2	1	0	0	1	0	1	0	1
DNOV00000184	841	1010	519	497	512	356	1114	600	412	367	381
DNOV00000185	0	0	0	0	0	0	0	0	0	0	0
DNOV00000186	82	50	59	70	79	33	176	61	66	66	56
DNOV00000187	930	955	586	508	509	406	1583	773	788	485	952
DNOV00000188	11739	14014	9117	8229	9000	6420	17684	10136	8706	7115	8741
DNOV00000189	887	1200	607	469	674	500	1327	1008	712	539	859
DNOV00000190	3	3	2	12	3	2	11	5	6	3	13
DNOV00000191	1061	1487	751	718	1015	654	2785	1749	1376	807	1062
DNOV00000192	945	922	803	591	613	615	1310	707	749	567	680
DNOV00000193	328	315	316	243	247	270	512	267	276	248	284
DNOV00000194	0	0	0	0	0	0	0	0	0	0	0
DNOV00000195	600	700	365	303	488	307	809	572	483	263	396
DNOV00000196	1395	1616	919	931	1045	769	2342	1367	1137	963	1155
DNOV00000197	1185	1211	664	678	872	683	2365	1080	1198	603	721
DNOV00000198	1893	1334	1665	1621	1290	1593	3290	1469	2156	1467	1391
DNOV00002421	535	519	452	724	327	315	1027	427	529	375	405
DNOV00002422	1354	2247	998	918	1224	724	3002	2270	1549	1148	1550
DNOV00002423	79	181	55	49	90	51	141	98	132	31	61
DNOV00002424	3	23	2	5	11	1	16	21	18	3	9
DNOV00002425	2	0	0	0	1	0	0	2	2	0	1
DNOV00002426	0	6	0	0	0	2	0	1	0	0	2
DNOV00002427	36	78	31	13	10	8	34	31	12	23	33
DNOV00002428	804	1097	462	446	647	415	1335	871	667	475	576
DNOV00002429	224	323	168	194	205	183	393	285	214	197	277
DNOV00002430	11	42	39	4	30	28	28	58	32	6	11
DNOV00002431	65	78	49	53	62	42	120	116	94	63	90
DNOV00002432	8680	10728	6087	5486	7369	4788	11920	7846	6500	5334	7362
DNOV00002433	92	152	60	90	76	62	124	98	50	49	60
DNOV00002434	663	975	461	498	466	236	1055	589	449	427	563
DNOV00002435	445	653	342	314	372	258	816	449	430	391	431
DNOV00002436	197	214	122	107	185	101	400	261	215	90	150
DNOV00002437	677	852	415	471	547	434	979	585	466	440	501
DNOV00002438	308	276	199	147	148	177	348	159	175	123	148
DNOV00002439	134	110	66	63	72	60	51	29	18	20	41
DNOV00002440	133	119	66	74	93	91	88	55	38	54	78
DNOV00002441	23	23	20	24	20	20	10	6	5	10	21
DNOV00002442	91	89	67	79	68	101	89	44	27	67	75
DNOV00002443	1	0	0	0	0	0	1	0	0	2	1
DNOV00002444	12	6	10	1	5	3	21	15	22	2	4
DNOV00002445	967	1135	647	565	723	427	1385	818	687	610	777
DNOV00002446	96	78	72	69	83	79	271	171	176	94	160
DNOV00002447	87	21	62	65	42	29	425	175	174	74	117
DNOV00002448	6	1	4	1	0	0	11	8	1	2	8
DNOV00002449	613	644	512	487	431	337	987	532	483	348	366
DNOV00002450	4678	5581	3212	2860	3489	2723	8216	4707	3924	3085	3903
DNOV00002451	252	314	153	158	202	97	321	230	164	101	160
DNOV00002452	16	55	5	147	95	148	37	72	32	7	98
DNOV00002453	7	8	0	27	18	30	10	13	6	1	14
DNOV00002454	0	0	0	0	0	0	0	0	0	1	0
DNOV00002455	6	41	7	2	26	4	26	46	19	4	58
DNOV00002456	9	38	5	4	41	9	50	82	31	15	76
DNOV00002457	2	2	0	0	1	0	0	1	2	1	0
DNOV00002458	596	322	258	505	252	219	612	300	162	261	144
DNOV00002459	0	0	0	0	0	0	0	0	0	0	0
DNOV00002460	185	12	59	161	20	23	117	14	14	40	1
DNOV00002461	694	609	540	288	332	297	780	391	362	282	284
DNOV00002462	0	1	0	0	0	1	0	0	0	1	1
DNOV00002463	11	9	12	4	3	9	9	3	7	8	6
DNOV00002464	0	0	0	0	0	0	0	0	1	0	0
DNOV00002465	296	122	237	125	71	100	139	88	79	95	74
DNOV00002466	253	286	188	141	185	117	327	248	147	109	122
DNOV00002467	4130	6554	2972	2554	3772	2207	8458	6263	4699	3771	5293
DNOV00002468	613	549	492	484	473	465	847	406	512	350	418
DNOV00002469	1446	2100	1214	970	1075	820	2404	1859	1725	1013	742
DNOV00002470	931	490	703	609	353	499	1431	546	842	749	330
DNOV00002471	72	97	31	51	71	43	89	77	43	26	72
DNOV00002472	637	828	520	369	455	337	799	507	377	350	430
DNOV00002473	589	943	498	415	562	318	1063	866	563	443	676
DNOV00002474	175	143	120	118	121	92	396	176	179	97	145
DNOV00002475	266	304	161	135	215	157	486	424	314	217	410
DNOV00002476	4231	7434	3051	2733	4680	2658	7044	5968	3736	2875	6745
DNOV00002477	0	0	2	0	2	0	0	1	0	0	0
DNOV00002478	7	0	0	0	0	1	4	2	0	2	4
DNOV00002479	3	0	2	3	4	0	3	0	0	2	3
DNOV00002480	962	483	344	434	362	232	848	556	357	244	474
DNOV00002481	0	0	0	0	0	0	1	0	0	0	0
DNOV00002482	133	154	82	63	120	106	105	81	66	31	81
DNOV00002483	710	837	455	529	696	522	988	640	543	467	622
DNOV00002484	844	1062	584	402	623	384	1583	957	809	605	832
DNOV00002485	18	25	17	31	23	27	34	19	15	16	29
DNOV00002486	2	1	0	1	3	0	0	0	0	0	0
DNOV00002487	16	10	1	2	1	0	9	1	0	0	1
DNOV00002488	244	181	23	48	28	2	165	50	6	19	2
DNOV00002489	509	682	361	359	430	286	1015	547	483	360	399
DNOV00002490	625	823	307	279	380	254	833	512	399	299	371
